UWKB,UUA,Bugulma Airport,Medium airport,Bugulma,Russia,
UWWB,,Buguruslan Severny Airport,Medium airport,Buguruslan,Russia,
LEBG,RGS,Burgos Airport,Medium airport,Burgos,Spain,
EPBY,BZG,Bydgoszcz Ignacy Jan Paderewski Airport,Medium airport,Bydgoszcz,Poland,
LFRK,CFR,Caen-Carpiquet Airport,Medium airport,Caen/Carpiquet,France,
LFCC,ZAO,Cahors-Lalbenque Airport,Medium airport,Cahors/Lalbenque,France,
LUCH,,Cahul International Airport,Medium airport,Cahul,Moldova,
LFAC,CQF,Calais-Dunkerque Airport,Medium airport,Calais/Dunkerque,France,
LFKC,CLY,Calvi-Sainte-Catherine Airport,Medium airport,Calvi/Sainte-Catherine,France,
EGSC,CBG,Cambridge Airport,Medium airport,Cambridge,United Kingdom,
LIMN,,Cameri Air Base [MIL],Medium airport,Cameri (NO),Italy,
EGEC,CAL,Campbeltown Airport,Medium airport,Campbeltown,United Kingdom,
LRCT,,Câmpia Turzii Air Base,Medium airport,Câmpia Turzii,Romania,
LFMD,CEQ,Cannes-Mandelieu Airport,Medium airport,Cannes,France,
LRCS,CSB,Caransebeş Airport,Medium airport,Caransebeş,Romania,
LFMK,CCF,Carcassonne Airport,Medium airport,Carcassonne/Salvaza,France,
EGNC,CAX,Carlisle Airport,Medium airport,Carlisle,United Kingdom,
LILM,,Casale Monferrato Airport,Medium airport,Casale Monferrato,Italy,
LPCS,CAT,Cascais Airport,Medium airport,Cascais,Portugal,
EIME,,Casement Air Base,Medium airport,Baldonnel,Ireland,
LKCV,,Čáslav Air Base,Medium airport,Čáslav,Czechia,
LECH,CDT,Castellón-Costa Azahar Airport,Medium airport,Castellón de la Plana,Spain,
LFCK,DCM,Castres-Mazamet Airport,Medium airport,Castres/Mazamet,France,
LFBC,,Cazaux (BA 120) Air Base,Medium airport,Cazaux (La Teste-de-Buch),France,
ETHC,ZCN,Celle Air Base,Medium airport,Celle,Germany,
LJCE,,Cerklje Airport,Medium airport,Cerklje ob Krki,Slovenia,
LIPC,,Cervia Air Base,Medium airport,Cervia,Italy,
EPCE,,Cewice Military Airport,Medium airport,Lębork,Poland,
LFLH,,Chalon-Champforgeuil Airport,Medium airport,Chalon/Champforgueil,France,
LFOK,XCR,Châlons-Vatry Airport,Medium airport,Vatry,France,
LFLB,CMF,Chambéry-Savoie Airport,Medium airport,Chambéry/Aix-les-Bains,France,
LGSA,CHQ,Chania International Airport,Medium airport,Souda,Greece,
LFQV,XCZ,Charleville-Mézières Airport,Medium airport,Charleville-Mézières,France,
LFOC,,Châteaudun (BA 279) Air Base,Medium airport,Châteaudun,France,
LFLX,CHR,"Châteauroux-Déols ""Marcel Dassault"" Airport",Medium airport,Châteauroux/Déols,France,
UWKS,CSY,Cheboksary Airport,Medium airport,Cheboksary,Russia,
USCC,CEK,Chelyabinsk Balandino Airport,Medium airport,Chelyabinsk,Russia,
LFRC,CER,Cherbourg-Maupertus Airport,Medium airport,Cherbourg/Maupertus,France,
ULWC,CEE,Cherepovets Airport,Medium airport,Cherepovets,Russia,
UKKE,CKC,Cherkasy International Airport,Medium airport,Cherkasy,Ukraine,
UKLN,CWC,Chernivtsi International Airport,Medium airport,Chernivtsi,Ukraine,
EBCV,,Chièvres Air Base,Medium airport,Chièvres,Belgium,
LGHI,JKH,Chios Island National Airport,Medium airport,Chios Island,Greece,
LUKK,KIV,Chişinău International Airport,Medium airport,Chişinău,Moldova,
UIAA,HTA,Chita-Kadala Airport,Medium airport,Chita,Russia,
UUMU,CKL,Chkalovskiy Air Base,Medium airport,Moscow,Russia,
LFOU,CET,Cholet Le Pontreau Airport,Medium airport,Cholet/Le Pontreau,France,
EGAE,LDY,City of Derry Airport,Medium airport,Derry,United Kingdom,
LFLC,CFE,Clermont-Ferrand Auvergne Airport,Medium airport,Clermont-Ferrand/Auvergne,France,
LRCL,CLJ,Cluj-Napoca International Airport,Medium airport,Cluj-Napoca,Romania,
LFBG,CNG,Cognac-Châteaubernard (BA 709) Air Base,Medium airport,Cognac/Châteaubernard,France,
LFGA,CMR,Colmar-Houssen Airport,Medium airport,Colmar/Houssen,France,
LICB,CIY,Comiso Airport,Medium airport,Comiso,Italy,
EKRK,RKE,Copenhagen Roskilde Airport,Medium airport,Copenhagen,Denmark,
LEBA,ODB,Córdoba Airport,Medium airport,Córdoba,Spain,
EDCD,CBU,Cottbus-Drewitz Airport,Medium airport,Cottbus,Germany,
EGBE,CVT,Coventry Airport,Medium airport,Coventry,United Kingdom,
LRCV,CRA,Craiova Airport,Medium airport,Craiova,Romania,
EGTC,,Cranfield Airport,Medium airport,Cranfield,United Kingdom,
LFPC,CSF,Creil Air Base,Medium airport,Creil,France,
LIBC,CRV,Crotone Airport,Medium airport,Crotone,Italy,
LECU,ECV,Cuatro Vientos Airport,Medium airport,Madrid,Spain,
LIMZ,CUF,Cuneo International Airport,Medium airport,Cuneo,Italy,
EVDA,DGP,Daugavpils Intrenational Airport,Medium airport,Daugavpils,Latvia,
EGWC,,DCAE Cosford Air Base,Medium airport,Cosford,United Kingdom,
EHKD,DHR,De Kooy Airport,Medium airport,Den Helder,The Netherlands,
EHDP,,De Peel Air Base,Medium airport,Venray,The Netherlands,
LFRG,DOL,Deauville-Saint-Gatien Airport,Medium airport,Deauville,France,
EPDE,,Deblin Military Air Base,Medium airport,Dęblin,Poland,
LHDC,DEB,Debrecen International Airport,Medium airport,Debrecen,Hungary,
LIED,DCI,Decimomannu Air Base,Medium airport,Decimomannu,Italy,
EHDL,,Deelen Air Base,Medium airport,Arnhem,The Netherlands,
LGRP,RHO,Rhodes International Airport,Medium airport,Rodes Island,Greece,
ETND,,Diepholz Air Base,Medium airport,Diepholz,Germany,
LFSD,DIJ,Dijon-Bourgogne Airport,Medium airport,Dijon/Longvic,France,
LGAL,AXD,Dimokritos Airport,Medium airport,Alexandroupolis,Greece,
