ICAO,IATA,Name,Type,Municipality,Country,
VEMH,LDA,Malda Airport,Small airport,Malda,India,
VRMM,MLE,Malé International Airport,Large airport,Malé,Maldives,
WATM,ARD,Mali Airport,Small airport,Alor Island,Indonesia,
WPMN,MPT,Maliana Airport,Small airport,Maliana,Timor-Leste,
WITM,LSW,Malikus Saleh Airport,Small airport,Lhok Seumawe-Sumatra Island,Indonesia,
WAWG,,Malimpung Airport,Small airport,Malimpung-Celebes Island,Indonesia,
WALM,,Malinau Airport,Small airport,Malinau-Borneo Island,Indonesia,
RP17,,Malita Airport,Small airport,,Philippines,
UIKM,,Mama Airport,Small airport,Mama,Russia,
RPUM,MBO,Mamburao Airport,Medium airport,Mamburao,Philippines,
VNMA,NGX,Manang Airport,Small airport,Ngawal,Nepal,
UCFM,FRU,Manas International Airport,Large airport,Bishkek,Kyrgyzstan,
VYMN,MGU,Manaung Airport,Small airport,Manaung,Burma,
VYMD,MDL,Mandalay International Airport,Large airport,Mandalay,Burma,
ZMMG,MXW,Mandalgobi Airport,Small airport,Mandalgobi,Mongolia,
VOML,IXE,Mangalore International Airport,Medium airport,Mangalore,India,
RKTM,,Mangilsan Heliport,Heliport,Mangilsan-ro,South Korea,
WALX,,Mangkajang Airport,Small airport,Mangkajang-Borneo Island,Indonesia,
OPMA,XJM,Mangla Airport,Medium airport,Mangla,Pakistan,
WAPE,MAL,Mangole Airport,Small airport,Mangole Island,Indonesia,
ZPMS,LUM,Mangshi Airport,Medium airport,Luxi,China,
ZBMZ,NZH,Manzhouli Xijiao Airport,Medium airport,Inner Mongolia Autonomous Region,China,
WA44,TQQ,Maranggo Airport,Small airport,Waha-Tomea Island,Indonesia,
LTCR,MQM,Mardin Airport,Medium airport,Mardin,Turkey,
OYMB,MYN,Mareb Airport,Small airport,Mareb,Yemen,
WICK,,Margahayu Airport,Small airport,Bandung-Java Island,Indonesia,
RPUW,MRQ,Marinduque Airport,Medium airport,Gasan,Philippines,
OS63,,Marj Ruhayyil Air Base,Small airport,Marj Ruhayyil,Syria,
OOMX,OMM,Marmul Airport,Small airport,Marmul,Oman,
WBGM,MUR,Marudi Airport,Medium airport,Marudi,Malaysia,
UTAM,MYP,Mary Airport,Medium airport,Mary,Turkmenistan,
OIMM,MHD,Mashhad International Airport,Large airport,Mashhad,Iran,
OOMA,MSH,Masirah Air Base,Medium airport,Masirah,Oman,
OPMR,,Masroor Air Base,Medium airport,Karachi,Pakistan,
RPMQ,MXI,Mati National Airport,Medium airport,Mati,Philippines,
RCMT,MFK,Matsu Beigan Airport,Medium airport,Beigan Island,Taiwan,
RCFG,LZN,Matsu Nangan Airport,Medium airport,Nangang Island,Taiwan,
RJAF,MMJ,Matsumoto Airport,Medium airport,Matsumoto,Japan,
RJST,,Matsushima Air Base,Medium airport,Ishinomaki,Japan,
RJOM,MYJ,Matsuyama Airport,Medium airport,Matsuyama,Japan,
VCRI,HRI,Mattala Rajapaksa International Airport,Large airport,Mattalla,Sri Lanka,
WATC,MOF,Maumere(Wai Oti) Airport,Small airport,Maumere-Flores Island,Indonesia,
