ICAO,IATA,Name,Type,Municipality,Country,
HKFT,,Fig Tree Airport,Small airport,Masai Mara National Park,Kenya,
FVFI,,Filabusi Airport,Small airport,Filabusi,Zimbabwe,
HAFN,FNH,Fincha Airport,Small airport,Fincha,Ethiopia,
DNFB,,Finima Bonny Airport,Small airport,Finima,Nigeria,
FAFK,,Fisantekraal Airport,Small airport,Fisantekraal,South Africa,
HTFE,,Fish Eagle Airport,Small airport,Ibolero,Tanzania,
FAFG,,Flamingo Vlei Airport,Small airport,Flamingo Vlei,South Africa,
DNFD,,Forcados Terminal Airport,Small airport,Forcados,Nigeria,
FAFO,,Fort Beaufort Airport,Small airport,Fort Beaufort,South Africa,
HTFI,,Fort Ikoma Airport,Small airport,Fort Ikoma,Tanzania,
HUFP,,Fort Portal Airport,Small airport,Fort Portal,Uganda,
FVFG,,Fothergill Airport,Small airport,Fothergill,Zimbabwe,
FOGF,FOU,Fougamou Airport,Small airport,Fougamou,Gabon,
FKKM,FOM,Foumban Nkounja Airport,Medium airport,Foumban,Cameroon,
FAFU,,Fraaiuitzicht Airport,Small airport,Fraaiuitzicht,South Africa,
FBFT,FRW,Francistown Airport,Medium airport,Francistown,Botswana,
FAFF,,Frankfort Airport,Small airport,Frankfort,South Africa,
FAFR,,Fraserburg Airport,Small airport,Fraseburg,South Africa,
FAFW,,Freeway Airport,Small airport,Kromdraai,South Africa,
FSSF,FRK,Frégate Island Airport,Small airport,Frégate Island,Seychelles,
GUFA,FIG,Fria Airport,Small airport,Fria,Guinea,
FZQF,,Fungurume Airport,Small airport,Fungurume,Congo (Kinshasa),
FQFU,,Furancungo Airport,Small airport,Furancungo,Mozambique,
DTTG,GAE,Gabès Matmata International Airport,Medium airport,Gabès,Tunisia,
HRYO,,Gabiro Airport,Small airport,Gabiro,Rwanda,
GGGB,,Gabu Airport,Small airport,Gabu,Guinea-Bissau,
FVGG,,Gachegache Airport,Small airport,Gache Gache,Zimbabwe,
DTTF,GAF,Gafsa Ksar International Airport,Medium airport,Gafsa,Tunisia,
DIGA,GGN,Gagnoa Airport,Small airport,Gagnoa,Côte d'Ivoire,
HCMR,GLK,Galcaio Airport,Small airport,Galcaio,Somalia,
HSGG,DNX,Galegu Airport,Small airport,Dinder,Sudan,
HLGN,TOB,Gamal Abdel Nasser Airport,Small airport,Tobruk,Libya,
FOGX,GAX,Gamba Airport,Small airport,Gamba,Gabon,
HAGM,GMB,Gambella Airport,Medium airport,Gambela,Ethiopia,
FCOG,GMM,Gamboma Airport,Small airport,Gamboma,Congo (Brazzaville),
FEGG,,Gamboula Airport,Small airport,Gamboula,Central African Republic,
